Land        Schau   Wild    Namen

Kanada      0       1       White Cave
Schweiz     1       1       Lac Souterrain St-Léonard, Grotte du Crête de Vaas
Zypern      1       0       Incirli Cave
Deutschland 3       1       Barbarossa, Heimkehle, Segeberger, Zwergenkirche
Spanien     1       0       Cueva del Yeso de Baena
Italien     3       1       Grotta dell'Onferno, Grotta del Re Tiberio, Grotta della Tanaccia, Grotta della Spipola
Moldavien   0       1       Pestera Emil Racovita
Russland    1       3       Kungur ledenica pestera, Yur'yevskaya Peshchera, Ordinskaya Peschtera, Karlamanska Pestera
Ukraine     2       4       Kristalnaja pestera, Verteba Pestera, Atlantida, Mlynky Cave, Optymistychna, Ozernaya Cave
USA         1       1       Alabaster Caverns State Park, (Selman Bat Cave)


